【01-08 #vivo前置双摄X9#】vivo Xplay6 [评估说vivo xplay6拍照功能强过iphone 7puls双摄 性能也不输与苹果 用过的吧友觉得这评估是不是真的],相机功能多/强
【01-08水贴】不吹不黑，vivo x9除了625以外，其他的都挺好的 [，外观漂亮，屏幕三星屏幕，HiFi音质，拍照也挺好，，可能黑点就是充电接口，],拍照效果好
【01-08 #vivo前置双摄X9#】拍照方面我挺喜欢的 [音质也不错 发几张我拍的图],拍照效果好
【01-07 #vivo前置双摄X9#】拍照模糊 [我手机型号是vivo x6A，前段时间手机摔坏了，屏碎了，修好之后发现前置摄像头很模糊，聚焦也没有，而且拍照了存好了，退出相机再进入就发现并没有保存，请问这是怎么回事啊，商家负责吗],拍照模糊/不清晰
【01-06 #vivo前置双摄X9#】想知道你们前置拍摄都是这样吗 [感觉有点模糊 没那么清晰 是光线的问题吗？还是手里的问题 还是都是这个样子？],拍照模糊/不清晰
"【01-04 #vivoX9晒单#】晒一晒新买的vivox9, [刚刚用了一下，确实很好用，wifi速度真是快，外放音质不错，最好的是拍照了，2000块买的，4g+128g已经用评测是真机，有发票什么的都有，还有一个屏保。这样还可以吧！！！]",拍照效果好
【01-03 #vivo前置双摄X9#】你们有这种情况吗？ [拍照挺好用的，很喜欢，但是不知道你们会不会和我一样，这个手机发热特快，我在被子玩手机，一边是 vivo x9plus 一边是vivo x5 Pro x9 plus 一会就烫手了，而x5 Pro 都还没反应 你们有这种情况吗？下面是自己拍的照片，给大家看看],拍照效果好
【01-01 #vivo前置双摄X9#】有用X9做直播的么 [因为听说X9前置2000万柔光自拍，所以买来做直播，但是播出去的效果完全不行，脸像打了马赛克一样，画面都是糊的，有人知道是什么原因么，],摄像模糊
【01-27 #vivo前置双摄X9#】手机相册的照片不见了 [但是文件管理里有，但是没有缩略图],照片丢失
【01-24 #vivo照亮2017#】vivo x9 plus 个人使用感受 [本人真的是第一次买vivo手机，我的第一台智能手机是：亿通T770，第二台是酷派大神F1，第三台是三星C1116，第四台是现在的：vivo x9 plus。现在的vivo和oppo在县市级的城镇都比较火，我妈去年买了一台oppo r7s plus，也是在这个亲戚这里买的，我也用了一下感觉音质对我来说，的确达不到我的要求。加上我今年又喜欢上了听歌，对音质也有那么一点点要求。自己之前的手机用了2年了也想换了，毕竟我之前的手机是三星C1116才2G运存，性能和音质都有点落后了，不过十倍光学变焦，氙气闪光灯在手机拍照方面仍然不落后。现在这款手机我已经在闲鱼上架了。\t好吧，话说买东西都是冲动才会买，所以2017年1月21号那天一时冲动就到亲戚开的移动营业厅拿了一台vivo x9 plus回家，因为亲戚的关系，所以优惠不少。用了这几天感觉也还可以，个人的使用体会评价在中等偏上。\t.\t总体配置方面： vivo x9 plus 的6G运存没得说，开机后查看系统自占内存1.63G左右，能够使用的实际内存在4.37G左右，如果长时间运行很多程序，虽然手动都关闭，但这时可能实际可用内存在接近3.93G，重启后又恢复到4.37G可用内存。虽然骁龙653 没能比骁龙820优越，但是也仅次于它了。\t自拍拍照方面还是可以的，自拍就不用说了，不错的。我还试了下后置摄像头在晚上不开灯的房间里拍照效果和开灯后拍的差不多，因为我之前用的是三星C1116拍照手机，所以拍照来说，还是可以的，音质当然没得说了，有双音乐芯片的手机不管是外放还是带耳机听歌明显比我妈用的OPPO r7s puls听着要舒服，特别是听人声口水歌曲要有韵味些。手机推力还可以，大多数的入耳式耳机不是问题，我试过用阻抗32 灵敏度106的头戴式耳机，音量开到6-7层足够了。\t我平常也玩手游，现在玩火炬之光，之前的三星C1116也能玩，但是有时会出现玩十来分钟闪退，一看是内存占比80%以上了，而且这款游戏是比较费电的。用vivo x9 plus玩了3天没有出现闪退的卡的现象，我一玩都是一两个小时把任务都做完了没有体力才下。 王者荣耀我也玩了下，fps帧率在29-30之间稳定，没有出现卡过也没有闪退，家里是铁通宽带，下载速度是1m/s 左右。\t最后说下有一个不满意的方面，应该是vivo x9 plus这款手机屏幕的不足也可以说是不算质量问题的问题。这款手机的IPS屏幕既是它的卖点和优点，但也存在不完美的缺点。就是在冬天气温低的时候，在白色背景，黑色字体的界面，比如：逛淘宝，微博，手指只要轻轻触摸到屏幕就会出现黑色字体颜色变淡，如果手指滑动一下抬起，在界面惯性滑动的过程中整个黑色字体是有一点模糊的，看久了会头晕，不过滑动停止后又立刻恢复正常，好比人坐在火车里看离的车窗最近的树木一样。我用我妈的oppo r7s plus 和我的三星C1116 对比过，没有这种情况。另外在VIVO官网论坛里也有一些人反映屏幕存在这种情况，我前天去当地另一个联通的营业厅看了一台vivo x9 plus，我看了一下确实和我的一样，说明确实有这个情况，但是现在我也有一点适应了，另外在网上找到数码多一篇文章中提到过vivo x9 plus屏幕特性一段话：\tvivo x9 plus使用上发现这么几个比较满意的设置：\t1.音乐hifi 支持除手机自带的音乐播放软件外，还可以手动设置支持酷狗等其他几款音乐软件。\t2.指纹解锁反应灵敏，速度快。可以设置手机home键双击两下开手电筒\t3.手机内置视频录制，主页从下往上滑动即可看到，可以录制视频网站主播直播一些精彩的画面，录制后的画面清晰度和原直播几乎一样。\t4.手机自带程序：相册，可以把里面的2个相册文件夹里面的图片 相互之间 随意复制移动粘贴删除。\t5.手机内的 文件管理 程序，可以直观看到内置储存空间里的全部文件夹，可以随意复制移动剪切把一个视频或者音乐文件，移动到另一个文件夹里。\t6.手机自带：应用商店，安装每一个程序都会自动关闭自启动和相互间的关联启动，这样一来可以大大减少安卓手机软件程序自启和后台占用的手机运存。\t7.在腾讯的聊天软件里可以设置分屏，三根手指向下滑动开启。\t总结一下：虽然vivo x9 plus被很多人说是高价低配，说的应该是处理器骁龙653，如果换成骁龙820呢？可能又会被说就算换了820也不值3500这个价，或者说买这个手机还不如买iphone6 plus 16G的。好吧，我只能说萝卜白菜各有所爱，每款手机都有自己的特点和不足，iphone也不例外。自己喜欢就好，我想也没有值不值得一说，iphone成本几年前有人计算过吗？也就1千多块，iphone发言人直接说卖的不是成本是技术。国产安卓手机最近这一两年来突飞猛进，反正我个人是习惯用安卓手机，没有iphone那样多的限制，我喜欢自由。我喜欢把电脑下的视频图片随意轻松的通过数据线或者企鹅软件，在或者手机助手一类的软件复制到手机里，简单方便。\t对了，vivo x9 plus 5.88寸和我妈的oppo r7s plus 6寸对比，没有oppo的宽，但是比它长一点，屏幕vivo偏冷，oppo偏暖，放在一起对比很明显能区分色彩走向。],拍照效果好
